geography_id,country_code,country_name,region_name,district_name,sub_district_name,population,urban_rural,latitude,longitude,area_sq_km,population_density,elevation,healthcare_access_index
KE-NAI-001,KE,Kenya,Nairobi,Nairobi District 1,Nairobi District 1 Sub-district 1,2031138.0,Urban,2.495326,38.626801,131,21804.05,466,0.18
KE-NAI-002,KE,Kenya,Nairobi,Nairobi District 1,Nairobi District 1 Sub-district 2,1971423.0,Urban,-3.427139,39.059108,318,8718.1,769,0.678
KE-NAI-003,KE,Kenya,Nairobi,Nairobi District 1,Nairobi District 1 Sub-district 3,918559.0,Urban,4.471768,38.791852,323,3999.2,21,0.106
KE-NAI-004,KE,Kenya,Nairobi,Nairobi District 1,Nairobi District 1 Sub-district 4,1456876.0,Urban,0.934432,34.967951,485,4224.25,975,0.286
KE-NAI-005,KE,Kenya,Nairobi,Nairobi District 2,Nairobi District 2 Sub-district 1,1745293.0,Urban,-1.198903,41.717847,514,4775.01,646,0.236
KE-NAI-006,KE,Kenya,Nairobi,Nairobi District 2,Nairobi District 2 Sub-district 2,1397803.0,Urban,-3.847449,39.325864,376,5227.9,1478,0.588
KE-NAI-007,KE,Kenya,Nairobi,Nairobi District 2,Nairobi District 2 Sub-district 3,1922590.0,Urban,3.70088,35.92224,881,3068.88,1021,0.516
KE-NAI-008,KE,Kenya,Nairobi,Nairobi District 3,Nairobi District 3 Sub-district 1,548853.0,Urban,4.261337,40.053063,171,4513.66,201,0.816
KE-NAI-009,KE,Kenya,Nairobi,Nairobi District 3,Nairobi District 3 Sub-district 2,1482217.0,Urban,-3.93282,35.419863,711,2931.64,2343,0.776
KE-NAI-010,KE,Kenya,Nairobi,Nairobi District 3,Nairobi District 3 Sub-district 3,1296269.0,Urban,4.221074,38.708274,502,3631.28,1180,0.742
KE-NAI-011,KE,Kenya,Nairobi,Nairobi District 4,Nairobi District 4 Sub-district 1,2035073.0,Urban,2.426076,35.441725,481,5949.82,1162,0.259
KE-NAI-012,KE,Kenya,Nairobi,Nairobi District 4,Nairobi District 4 Sub-district 2,772359.0,Urban,2.417014,34.444357,240,4525.61,2088,0.832
KE-COA-013,KE,Kenya,Coast,Coast District 1,Coast District 1 Sub-district 1,259125.0,Rural,-4.7,35.403859,854,426.7,2146,0.573
KE-COA-014,KE,Kenya,Coast,Coast District 1,Coast District 1 Sub-district 2,1990240.0,Urban,-2.28268,40.689697,652,4292.66,1028,0.549
KE-COA-015,KE,Kenya,Coast,Coast District 2,Coast District 2 Sub-district 1,1560503.0,Urban,-0.982485,36.336328,563,3897.85,1484,0.261
KE-COA-016,KE,Kenya,Coast,Coast District 2,Coast District 2 Sub-district 2,122377.0,Rural,-2.920389,36.984566,1807,95.24,2278,0.428
KE-COA-017,KE,Kenya,Coast,Coast District 2,Coast District 2 Sub-district 3,152814.0,Rural,2.924638,37.706924,3364,63.88,1819,0.844
KE-COA-018,KE,Kenya,Coast,Coast District 2,Coast District 2 Sub-district 4,113460.0,Rural,2.260683,39.345377,3677,43.39,1363,0.814
KE-COA-019,KE,Kenya,Coast,Coast District 3,Coast District 3 Sub-district 1,409427.0,Urban,2.489749,35.460028,234,2460.54,1408,0.282
KE-COA-020,KE,Kenya,Coast,Coast District 3,Coast District 3 Sub-district 2,101535.0,Rural,-2.56501,35.35425,759,188.13,1479,0.527
KE-COA-021,KE,Kenya,Coast,Coast District 3,Coast District 3 Sub-district 3,198095.0,Rural,-4.7,35.616921,2048,136.02,1631,0.546
KE-RIF-023,KE,Kenya,Rift Valley,Rift Valley District 1,Rift Valley District 1 Sub-district 1,195752.0,Rural,0.198115,34.50383,3524,78.12,1661,0.216
KE-RIF-024,KE,Kenya,Rift Valley,Rift Valley District 1,Rift Valley District 1 Sub-district 2,202782.0,Rural,0.665106,38.833574,3560,80.1,202,0.396
KE-RIF-025,KE,Kenya,Rift Valley,Rift Valley District 2,Rift Valley District 2 Sub-district 1,110989.0,Rural,1.415026,38.378197,658,237.21,1147,0.507
KE-RIF-026,KE,Kenya,Rift Valley,Rift Valley District 2,Rift Valley District 2 Sub-district 2,257386.0,Rural,-1.445382,35.853928,1419,255.08,1986,0.748
KE-RIF-027,KE,Kenya,Rift Valley,Rift Valley District 3,Rift Valley District 3 Sub-district 1,1907206.0,Urban,-0.77938,38.234011,881,3044.32,640,0.641
KE-RIF-028,KE,Kenya,Rift Valley,Rift Valley District 3,Rift Valley District 3 Sub-district 2,69157.0,Rural,0.558666,39.658275,312,311.71,1787,0.24
KE-RIF-029,KE,Kenya,Rift Valley,Rift Valley District 3,Rift Valley District 3 Sub-district 3,198095.0,Rural,0.44895,36.026818,3773,52.33,452,0.82
KE-RIF-030,KE,Kenya,Rift Valley,Rift Valley District 3,Rift Valley District 3 Sub-district 4,159349.0,Rural,-1.883296,39.694863,2305,97.22,1154,0.785
KE-RIF-031,KE,Kenya,Rift Valley,Rift Valley District 4,Rift Valley District 4 Sub-district 1,230629.0,Rural,3.436835,41.57708,1495,216.94,103,0.585
KE-RIF-032,KE,Kenya,Rift Valley,Rift Valley District 4,Rift Valley District 4 Sub-district 2,1625543.0,Urban,4.578274,36.363368,887,2577.17,337,0.488
