date,geography_id,temperature_min_c,temperature_max_c,temperature_avg_c,rainfall_mm,humidity_pct
2020-01-01,KE-NAI-001,25.2,34.9,30.3,0.0,43.4
2020-01-02,KE-NAI-001,26.5,34.7,29.2,0.0,37.9
2020-01-03,KE-NAI-001,25.5,31.8,28.7,0.0,39.8
2020-01-04,KE-NAI-001,26.9,34.4,30.9,0.0,43.6
2020-01-05,KE-NAI-001,24.0,33.4,28.1,0.0,39.9
2020-01-06,KE-NAI-001,22.7,30.0,27.3,0.0,43.3
2020-01-07,KE-NAI-001,24.2,33.1,29.1,13.7,60.7
2020-01-08,KE-NAI-001,24.2,33.3,29.9,0.0,41.9
2020-01-09,KE-NAI-001,33.1,42.1,36.2,0.0,35.6
2020-01-10,KE-NAI-001,27.6,37.8,33.2,0.0,44.1
2020-01-11,KE-NAI-001,25.5,34.4,29.0,0.0,42.2
2020-01-12,KE-NAI-001,23.6,31.0,28.0,0.0,44.3
2020-01-13,KE-NAI-001,27.4,37.7,32.5,8.9,62.3
2020-01-14,KE-NAI-001,27.7,37.9,33.3,0.0,44.4
2020-01-15,KE-NAI-001,24.4,34.2,29.4,0.0,40.3
2020-01-16,KE-NAI-001,26.5,34.4,29.4,0.0,39.4
2020-01-17,KE-NAI-001,27.6,35.9,31.9,2.3,60.6
2020-01-18,KE-NAI-001,30.5,38.9,35.3,0.0,35.9
2020-01-19,KE-NAI-001,26.1,34.5,31.2,6.8,63.2
2020-01-20,KE-NAI-001,23.7,34.8,29.5,0.0,36.3
2020-01-21,KE-NAI-001,26.0,36.0,31.6,0.0,36.0
2020-01-22,KE-NAI-001,30.2,36.7,33.8,0.0,40.7
2020-01-23,KE-NAI-001,31.0,37.8,33.5,0.0,42.8
2020-01-24,KE-NAI-001,30.7,37.3,33.6,0.0,41.8
2020-01-25,KE-NAI-001,33.3,42.9,37.0,0.0,42.5
2020-01-26,KE-NAI-001,29.5,37.3,33.8,0.0,44.6
2020-01-27,KE-NAI-001,31.0,37.2,33.7,0.0,42.6
2020-01-28,KE-NAI-001,35.7,42.9,38.7,0.0,42.6
2020-01-29,KE-NAI-001,32.8,41.2,36.2,0.0,38.7
2020-01-30,KE-NAI-001,30.8,39.9,35.5,36.1,66.4
2020-01-31,KE-NAI-001,35.0,41.9,37.6,0.0,38.5
2020-02-01,KE-NAI-001,33.0,41.0,36.1,0.0,35.6
2020-02-02,KE-NAI-001,30.8,39.4,33.7,0.0,42.4
