date,geography_id,temperature_min_c,temperature_max_c,temperature_avg_c,rainfall_mm,humidity_pct
2020-01-01,KE-NAI-001,13.9,24.3,19.1,0.0,54.4
2020-01-02,KE-NAI-001,15.2,21.5,18.4,0.0,54.1
2020-01-03,KE-NAI-001,17.6,23.7,20.7,0.0,58.1
2020-01-04,KE-NAI-001,14.8,21.9,18.4,0.0,57.2
2020-01-05,KE-NAI-001,15.0,23.6,19.3,0.0,47.3
2020-01-06,KE-NAI-001,14.1,21.9,18.0,0.0,56.3
2020-01-07,KE-NAI-001,17.5,24.7,21.1,0.0,54.1
2020-01-08,KE-NAI-001,14.0,23.6,18.8,0.0,55.4
2020-01-09,KE-NAI-001,13.8,23.9,18.9,0.0,53.8
2020-01-10,KE-NAI-001,16.6,22.8,19.7,0.0,50.8
2020-01-11,KE-NAI-001,16.9,24.8,20.9,0.0,50.1
2020-01-12,KE-NAI-001,12.5,24.3,18.4,0.0,55.8
2020-01-13,KE-NAI-001,17.8,24.3,21.0,0.0,55.7
2020-01-14,KE-NAI-001,16.0,24.3,20.1,0.0,53.8
2020-01-15,KE-NAI-001,16.0,23.7,19.9,0.0,59.2
2020-01-16,KE-NAI-001,17.7,24.2,20.9,0.0,53.5
2020-01-17,KE-NAI-001,16.8,22.9,19.9,0.0,57.4
2020-01-18,KE-NAI-001,16.7,27.4,22.0,6.7,60.9
2020-01-19,KE-NAI-001,15.9,22.3,19.1,0.0,59.4
2020-01-20,KE-NAI-001,17.6,27.4,22.5,0.0,51.4
2020-01-21,KE-NAI-001,14.8,25.1,20.0,0.0,54.7
2020-01-22,KE-NAI-001,18.6,27.6,23.1,0.0,56.4
2020-01-23,KE-NAI-001,17.7,24.3,21.0,15.2,59.8
2020-01-24,KE-NAI-001,16.0,27.4,21.7,0.0,47.0
2020-01-25,KE-NAI-001,19.8,27.2,23.5,5.1,54.6
2020-01-26,KE-NAI-001,16.8,28.0,22.4,0.0,59.6
2020-01-27,KE-NAI-001,17.9,29.3,23.6,0.0,55.7
2020-01-28,KE-NAI-001,17.5,26.0,21.8,0.0,53.5
2020-01-29,KE-NAI-001,15.3,22.7,19.0,0.0,56.4
2020-01-30,KE-NAI-001,18.9,26.8,22.9,,54.3
2020-01-31,KE-NAI-001,15.4,27.2,21.3,0.0,60.6
